appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,Steam_User_Score_Percent,Total_Reviews_Count,Owners_SteamSpy
1363080,Manor Lords,Hooded Horse,4X,$86m ($56.9m - $115m),$205m,172605.0,85.45,66488,2000000 - 5000000
232050,Eador. Masters of the Broken World,Snowbird Games,4X,$973.6k ($549.9k - $1.3m),$2m,115993.0,67.48,1633,1000000 - 2000000
289070,Sid Meier’s Civilization VI,2K,4X,$380.3m ($259.2m - $501.3m),$1.7b,162314.0,85.92,265649,10000000 - 20000000
1158310,Crusader Kings III,Paradox Interactive,4X,$153m ($93.4m - $212.5m),$1.1b,98474.0,90.76,86797,2000000 - 5000000
204880,Sins of a Solar Empire: Rebellion,Stardock Entertainment,4X,$10.5m ($5.9m - $15.1m),$62.5m,91159.0,93.66,10113,2000000 - 5000000
8930,Sid Meier's Civilization V,2K,4X,$166.9m ($103.7m - $230.1m),$1.7b,91020.0,95.43,125749,10000000 - 20000000
289130,ENDLESS Legend,AMPLITUDE Studios,4X,$28.3m ($16m - $40.6m),$86.3m,88785.0,83.95,14276,2000000 - 5000000
281990,Stellaris,Paradox Interactive,4X,$110.9m ($79.9m - $141.9m),$1.1b,68517.0,86.75,132626,2000000 - 5000000
1295660,Sid Meier's Civilization VII,2K,4X,$74.2m ($49.8m - $98.7m),$1.7b,84558.0,47.69,37869,1000000 - 2000000
1124300,HUMANKIND,AMPLITUDE Studios,4X,$25m ($16.2m - $33.8m),$86.3m,55232.0,67.93,21397,1000000 - 2000000
236850,Europa Universalis IV,Paradox Interactive,4X,$75.5m ($49.6m - $101.4m),$1.1b,47844.0,87.34,92202,5000000 - 10000000
392110,ENDLESS Space 2,AMPLITUDE Studios,4X,$20m ($13.9m - $26m),$86.3m,53435.0,84.13,16792,1000000 - 2000000
1669000,Age of Wonders 4,Paradox Interactive,4X,$42m ($24.6m - $59.5m),$1.1b,42826.0,82.12,15112,500000 - 1000000
208140,ENDLESS Space - Definitive Edition,AMPLITUDE Studios,4X,$3.4m ($1.6m - $5.2m),$86.3m,41009.0,79.65,6560,1000000 - 2000000
466560,Northgard,Shiro Games,4X,$42.5m ($30.4m - $54.6m),$90.7m,20083.0,85.98,52821,2000000 - 5000000
226840,Age of Wonders III,Paradox Interactive,4X,$9.9m ($5.7m - $14m),$1.1b,18477.0,81.7,6962,1000000 - 2000000
885970,Total War: ROME REMASTERED,SEGA,4X,$13m ($8m - $18.1m),$1.6b,18407.0,76.99,11606,500000 - 1000000
1575940,Sins of a Solar Empire II,Stardock Entertainment,4X,$11.9m ($8.8m - $14.9m),$62.5m,13330.0,84.2,6316,200000 - 500000
48240,Anno 2070,Ubisoft,4X,$13.3m ($10.2m - $16.4m),$2.4b,11140.0,59.5,11425,500000 - 1000000
1176470,Terra Invicta,Hooded Horse,4X,$9.6m ($6.8m - $12.5m),$205m,9826.0,79.86,6499,200000 - 500000
4700,Total War: MEDIEVAL II – Definitive Edition,SEGA,4X,$4.8m ($2.6m - $7.1m),$1.6b,8419.0,95.55,25791,1000000 - 2000000
1605220,Dune: Spice Wars,Funcom,4X,$11.4m ($7.8m - $15m),$198.2m,7986.0,79.3,11017,1000000 - 2000000
2328480,Ascension,Element Game 微元游戏,4X,$1.1m ($752.9k - $1.6m),$1.1m,7867.0,61.59,2265,200000 - 500000
375910,Anno 2205,Ubisoft,4X,$7.8m ($5.4m - $10.2m),$2.4b,7401.0,69.99,5954,1000000 - 2000000
226860,Galactic Civilizations III,Stardock Entertainment,4X,$14.7m ($9.5m - $19.9m),$62.5m,6225.0,77.01,8290,1000000 - 2000000
463530,Empires of the Undergrowth,Hooded Horse,4X,$9.3m ($6.4m - $12.2m),$205m,6356.0,94.54,15043,500000 - 1000000
736820,Knights of Honor II: Sovereign,THQ Nordic,4X,$9.2m ($5.8m - $12.6m),$387.4m,6034.0,77.39,4559,100000 - 200000
32470,STAR WARS Empire at War - Gold Pack,LucasArts,4X,$12.9m ($7.9m - $17.8m),$124.9m,5686.0,97.72,34159,1000000 - 2000000
1531540,Distant Worlds 2,Slitherine Ltd.,4X,$5.2m ($3.5m - $6.9m),$97.4m,4974.0,71.9,2541,100000 - 200000
1268590,Millennia,Paradox Interactive,4X,$3.1m ($2.1m - $4.1m),$1.1b,5907.0,67.43,2923,100000 - 200000
1937780,Total War: PHARAOH,SEGA,4X,$6.2m ($4m - $8.4m),$1.6b,4858.0,63.77,3478,200000 - 500000
1622900,Star Trek: Infinite,Paradox Interactive,4X,$2.1m ($1.3m - $2.9m),$1.1b,4752.0,42.01,2947,200000 - 500000
1099410,A Total War Saga: TROY,SEGA,4X,$11.3m ($6m - $16.5m),$1.6b,4638.0,71.94,2965,200000 - 500000
3910,Sid Meier's Civilization III Complete,2K,4X,$529.5k ($288.7k - $770.4k),$1.7b,4571.0,91.04,5401,1000000 - 2000000
4760,Rome: Total War - Collection,SEGA,4X,0,$1.6b,4399.0,94.61,12775,1000000 - 2000000
867210,Songs of Conquest,Coffee Stain Publishing,4X,$10.2m ($7.1m - $13.3m),$592.7m,4167.0,85.86,11324,1000000 - 2000000
202200,Galactic Civilizations II: Ultimate Edition,Stardock Entertainment,4X,$742.5k ($148.5k - $1.3m),$62.5m,3986.0,80.25,942,500000 - 1000000
252450,StarDrive 2,Iceberg Interactive,4X,$1.1m ($734.1k - $1.4m),$34.2m,3571.0,55.13,1928,50000 - 100000
597180,Old World,Hooded Horse,4X,$8.7m ($4.4m - $13.1m),$205m,3565.0,82.32,4803,200000 - 500000
538030,Xenonauts 2,Hooded Horse,4X,$3.8m ($2.6m - $5m),$205m,3464.0,79.96,2764,100000 - 200000
2021880,Ara History Untold: Anniversary Edition ,Xbox Game Studios,4X,$2.3m ($1.4m - $3.1m),$1.8b,3449.0,70.16,1957,20000 - 50000
203630,Warlock - Master of the Arcane,Paradox Interactive,4X,$971.5k ($485.7k - $1.4m),$1.1b,3403.0,86.48,984,500000 - 1000000
282210,Sid Meier's Starships,2K,4X,$1.8m ($1.1m - $2.4m),$1.7b,3387.0,49.54,1944,100000 - 200000
1422440,Cataclismo,Hooded Horse,4X,$5m ($3.3m - $6.7m),$205m,3129.0,90.05,3517,200000 - 500000
8800,Civilization IV: Beyond the Sword,2K,4X,$360.9k ($192.5k - $529.3k),$1.7b,2744.0,96.59,3636,500000 - 1000000
2233790,Legendary Creatures 2,Thermite Games,4X,$285.9k ($193.2k - $378.6k),$5.1m,2346.0,70.82,867,200000 - 500000
427940,Industries of Titan,Brace Yourself Games,4X,$1.8m ($1.1m - $2.5m),$17m,2209.0,62.57,1531,100000 - 200000
544610,Battlestar Galactica Deadlock,Slitherine Ltd.,4X,$3.9m ($2.6m - $5.3m),$97.4m,2125.0,86.85,2578,200000 - 500000
702320,March of Empires,Gameloft,4X,$20.9m ($12.6m - $29.3m),$64.8m,2031.0,0.0,0,200000 - 500000
2511500,Dominions 6 - Rise of the Pantokrator,Illwinter Game Design,4X,$1.6m ($1.2m - $2.1m),$6.5m,1881.0,90.6,1405,20000 - 50000
887570,NEBULOUS: Fleet Command,Hooded Horse,4X,$2.4m ($1.4m - $3.3m),$205m,1814.0,82.41,3428,200000 - 500000
1822550,Microcivilization,Ondrej Homola,4X,$1.3m ($877.5k - $1.7m),$1.3m,1728.0,82.71,1203,50000 - 100000
378720,Thea: The Awakening,MuHa Games,4X,$2.8m ($1.9m - $3.7m),$3.9m,1696.0,88.11,3262,200000 - 500000
245370,Etherium,Focus Entertainment,4X,$1.3m ($273.8k - $2.4m),$728.4m,1672.0,39.83,467,100000 - 200000
