Selected_Genre,appid,name,genres,release_date,is_free,price,developers,publishers,concurrent_players,source,peak_players,is_non_game
4X,1363080,Manor Lords,"4X, City Builder, Simulation, Strategy, Survival",,,,Slavic Magic,Hooded Horse,2160.0,steamspy,172605.0,False
4X,289070,Sid Meier’s Civilization VI,"4X, City Builder, Simulation, Strategy",,,,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",25573.0,steamspy,162314.0,False
4X,232050,Eador. Masters of the Broken World,"4X, Adventure, Indie, RPG, Strategy",,,,Snowbird Games,Snowbird Games,18.0,steamspy,115993.0,False
4X,1158310,Crusader Kings III,"4X, RPG, Simulation, Strategy",,,,Paradox Development Studio,Paradox Interactive,22699.0,steamspy,98474.0,False
4X,204880,Sins of a Solar Empire: Rebellion,"4X, Simulation, Strategy",,,,"Ironclad Games Corporation, Stardock Entertainment",Stardock Entertainment,292.0,steamspy,91159.0,False
4X,8930,Sid Meier's Civilization V,"4X, Simulation, Strategy",,,,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",11960.0,steamspy,91020.0,False
4X,289130,ENDLESS Legend,"4X, Adventure, Indie, RPG, Strategy",,,,AMPLITUDE Studios,AMPLITUDE Studios,121.0,steamspy,88785.0,False
4X,1295660,Sid Meier's Civilization VII,"4X, City Builder, Simulation, Strategy",,,,Firaxis Games,2K,8032.0,steamspy,84558.0,False
4X,281990,Stellaris,"4X, Simulation, Strategy",,,,Paradox Development Studio,Paradox Interactive,9552.0,steamspy,68517.0,False
4X,1124300,HUMANKIND,"4X, City Builder, Simulation, Strategy, Survival",,,,AMPLITUDE Studios,AMPLITUDE Studios,343.0,steamspy,55232.0,False
4X,392110,ENDLESS Space 2,"4X, Action, Indie, RPG, Strategy",,,,AMPLITUDE Studios,AMPLITUDE Studios,328.0,steamspy,53435.0,False
4X,236850,Europa Universalis IV,"4X, Simulation, Strategy",,,,"Paradox Development Studio, Paradox Tinto",Paradox Interactive,6161.0,steamspy,47844.0,False
4X,1669000,Age of Wonders 4,"4X, RPG, Strategy",,,,Triumph Studios,Paradox Interactive,1948.0,steamspy,42826.0,False
4X,208140,ENDLESS Space - Definitive Edition,"4X, Indie, Simulation, Strategy",,,,AMPLITUDE Studios,AMPLITUDE Studios,32.0,steamspy,41009.0,False
4X,466560,Northgard,"4X, City Builder, Simulation, Strategy",,,,Shiro Games,Shiro Games,1015.0,steamspy,20083.0,False
4X,226840,Age of Wonders III,"4X, Action, Adventure, RPG, Strategy",,,,Triumph Studios,Paradox Interactive,153.0,steamspy,18477.0,False
4X,885970,Total War: ROME REMASTERED,"4X, Action, Strategy",,,,"Creative Assembly, Feral Interactive",SEGA,671.0,steamspy,18407.0,False
4X,1575940,Sins of a Solar Empire II,"4X, Strategy",,,,"Ironclad Games Corporation, Stardock Entertainment",Stardock Entertainment,653.0,steamspy,13330.0,False
4X,48240,Anno 2070,"4X, City Builder, Simulation, Strategy",,,,"Blue Byte, Related Designs",Ubisoft,38.0,steamspy,11140.0,False
4X,1176470,Terra Invicta,"4X, Simulation, Strategy",,,,Pavonis Interactive,Hooded Horse,358.0,steamspy,9826.0,False
4X,4700,Total War: MEDIEVAL II – Definitive Edition,"4X, Action, Simulation, Strategy",,,,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2340.0,steamspy,8419.0,False
4X,1605220,Dune: Spice Wars,"4X, Indie, Simulation, Strategy",,,,Shiro Games,"Funcom, Shiro Games",143.0,steamspy,7986.0,False
4X,2328480,Ascension,"4X, RPG, Strategy",,,,Element Game 微元游戏,Element  Game 微元游戏,56.0,steamspy,7867.0,False
4X,375910,Anno 2205,"4X, City Builder, Simulation, Strategy",,,,Blue Byte,Ubisoft,55.0,steamspy,7401.0,False
4X,463530,Empires of the Undergrowth,"4X, City Builder, Simulation, Strategy, Survival",,,,Slug Disco,"Hooded Horse, Slug Disco",240.0,steamspy,6356.0,False
4X,226860,Galactic Civilizations III,"4X, Strategy",,,,Stardock Entertainment,Stardock Entertainment,122.0,steamspy,6225.0,False
4X,736820,Knights of Honor II: Sovereign,"4X, City Builder, Simulation, Strategy",,,,Black Sea Games,THQ Nordic,163.0,steamspy,6034.0,False
4X,1268590,Millennia,"4X, Simulation, Strategy",,,,C Prompt Games,Paradox Interactive,26.0,steamspy,5907.0,False
4X,32470,STAR WARS Empire at War - Gold Pack,"4X, Action, Adventure, Simulation, Strategy",,,,Petroglyph,"LucasArts, Lucasfilm, Disney",1210.0,steamspy,5686.0,False
4X,1531540,Distant Worlds 2,"4X, Simulation, Strategy",,,,CodeForce,Slitherine Ltd.,60.0,steamspy,4974.0,False
4X,1937780,Total War: PHARAOH,"4X, Action, Horror, Strategy",,,,CREATIVE ASSEMBLY,SEGA,30.0,steamspy,4858.0,False
4X,1622900,Star Trek: Infinite,"4X, Simulation, Strategy",,,,Nimble Giant Entertainment,Paradox Interactive,26.0,steamspy,4752.0,False
4X,1099410,A Total War Saga: TROY,"4X, Action, Adventure, Massively Multiplayer, Simulation, Strategy",,,,"CREATIVE ASSEMBLY, Feral Interactive (Mac)","SEGA, Feral Interactive (Mac)",128.0,steamspy,4638.0,False
4X,3910,Sid Meier's Civilization III Complete,"4X, City Builder, Simulation, Strategy",,,,Firaxis Games,2K,1321.0,steamspy,4571.0,False
4X,4760,Rome: Total War - Collection,"4X, Action, Simulation, Strategy",,,,CREATIVE ASSEMBLY,SEGA,461.0,steamspy,4399.0,False
4X,867210,Songs of Conquest,"4X, RPG, Strategy",,,,Lavapotion,Coffee Stain Publishing,171.0,steamspy,4167.0,False
4X,202200,Galactic Civilizations II: Ultimate Edition,"4X, Strategy",,,,Stardock Entertainment,Stardock Entertainment,26.0,steamspy,3986.0,False
4X,252450,StarDrive 2,"4X, Indie, Strategy",,,,Zero Sum Games,Iceberg Interactive,7.0,steamspy,3571.0,False
4X,597180,Old World,"4X, Simulation, Strategy",,,,Mohawk Games,Hooded Horse,449.0,steamspy,3565.0,False
4X,538030,Xenonauts 2,"4X, RPG, Simulation, Strategy",,,,Goldhawk Interactive,Hooded Horse,86.0,steamspy,3464.0,False
4X,2021880,Ara History Untold: Anniversary Edition ,"4X, City Builder, Strategy",,,,Oxide Games,Xbox Game Studios,39.0,steamspy,3449.0,False
4X,203630,Warlock - Master of the Arcane,"4X, RPG, Strategy",,,,Ino-Co Plus,Paradox Interactive,16.0,steamspy,3403.0,False
4X,282210,Sid Meier's Starships,"4X, Casual, Strategy",,,,Firaxis Games,2K,21.0,steamspy,3387.0,False
4X,1422440,Cataclismo,"4X, City Builder, Simulation, Strategy",,,,Digital Sun,Hooded Horse,43.0,steamspy,3129.0,False
4X,220660,StarDrive,"4X, Indie, Strategy",,,,Zero Sum Games,,1.0,steamspy,3091.0,False
4X,8800,Civilization IV: Beyond the Sword,"4X, Simulation, Strategy",,,,Firaxis Games,2K,1340.0,steamspy,2744.0,False
4X,2233790,Legendary Creatures 2,"4X, Adventure, RPG, Strategy",,,,HideChara,Thermite Games,1.0,steamspy,2346.0,False
4X,427940,Industries of Titan,"4X, City Builder, Simulation, Strategy",,,,Brace Yourself Games,Brace Yourself Games,5.0,steamspy,2209.0,False
4X,544610,Battlestar Galactica Deadlock,"4X, Action, Adventure, Simulation, Strategy",,,,Black Lab Games,Slitherine Ltd.,231.0,steamspy,2125.0,False
4X,702320,March of Empires,"4X, Action, City Builder, Massively Multiplayer, RPG, Strategy",,,,Gameloft,Gameloft,627.0,steamspy,2031.0,False
4X,2511500,Dominions 6 - Rise of the Pantokrator,"4X, Strategy",,,,Illwinter Game Design,Illwinter Game Design,283.0,steamspy,1881.0,False
4X,887570,NEBULOUS: Fleet Command,"4X, Simulation, Strategy",,,,Eridanus Industries,Hooded Horse,86.0,steamspy,1814.0,False
4X,1822550,Microcivilization,"4X, City Builder, Indie, Strategy",,,,Ondrej Homola,Ondrej Homola,16.0,steamspy,1728.0,False
4X,378720,Thea: The Awakening,"4X, Card & Board, Indie, RPG, Strategy, Survival",,,,MuHa Games,MuHa Games,15.0,steamspy,1696.0,False
4X,245370,Etherium,"4X, Action, Strategy",,,,Tindalos Interactive,Focus Entertainment,0.0,steamspy,1672.0,False
4X,1025440,Fantasy General II,"4X, Strategy",,,,Owned by Gravity,Slitherine Ltd.,104.0,steamspy,1556.0,False
4X,1119700,As Far As The Eye,"4X, Card & Board, City Builder, Strategy, Survival",,,,Unexpected,"Goblinz Publishing, Maple Whispering Limited, Unexpected",3.0,steamspy,1499.0,False
4X,1357210,Galactic Civilizations IV,"4X, Simulation, Strategy",,,,Stardock Entertainment,Stardock Entertainment,231.0,steamspy,1422.0,False
4X,2195410,Songs of Silence,"4X, Indie, RPG, Strategy",,,,Chimera Entertainment,"Chimera Entertainment, H2 Interactive (Korea and Japan)",18.0,steamspy,1406.0,False
4X,3900,Sid Meier's Civilization IV,"4X, Simulation, Strategy",,,,Firaxis Games,2K,561.0,steamspy,1389.0,False
4X,606230,Thea 2: The Shattering,"4X, Card & Board, Indie, RPG, Strategy, Survival",,,,"MuHa Games, Eerie Forest Studio",MuHa Games,22.0,steamspy,1334.0,False
4X,342560,Airships: Conquer the Skies,"4X, Strategy",,,,David Stark,David Stark,51.0,steamspy,1313.0,False
4X,25800,Europa Universalis III Complete,"4X, Simulation, Strategy",,,,Paradox Development Studio,Paradox Interactive,43.0,steamspy,1299.0,False
4X,419480,Starpoint Gemini Warlords,"4X, Indie, RPG, Simulation, Strategy",,,,Little Green Men Games,Little Green Men Games,7.0,steamspy,1246.0,False
4X,261470,Distant Worlds: Universe,"4X, Adventure, Indie, Simulation, Strategy",,,,Code Force,Slitherine Ltd.,5.0,steamspy,1239.0,False
4X,718560,Scythe: Digital Edition,"4X, Card & Board, Strategy",,,,The Knights of Unity,The Knights of Unity,48.0,steamspy,1201.0,False
4X,1606340,Conquest of Elysium 5,"4X, Indie, Strategy",,,,Illwinter Game Design,Illwinter Game Design,179.0,steamspy,1171.0,False
4X,722060,Dominions 5 - Warriors of the Faith,"4X, Indie, Strategy",,,,Illwinter Game Design,Illwinter Game Design,23.0,steamspy,1065.0,False
4X,1075190,A Game of Thrones: The Board Game - Digital Edition,"4X, Card & Board, Strategy",,,,Dire Wolf,Twin Sails Interactive,26.0,steamspy,1062.0,False
4X,2820,X3: Terran Conflict,"4X, Action, Simulation, Strategy",,,,Egosoft,Egosoft,23.0,steamspy,1019.0,False
4X,1481170,ZEPHON,"4X, Horror, RPG, Simulation, Strategy",,,,Proxy Studios,Proxy Studios,132.0,steamspy,1016.0,False
4X,1768280,Ozymandias: Bronze Age Empire Sim,"4X, City Builder, Simulation, Strategy",,,,The Secret Games Company,"Goblinz Publishing, IndieArk",12.0,steamspy,1012.0,False
4X,1264280,Slipways,"4X, Indie, Puzzle, Strategy",,,,Beetlewing,Beetlewing,12.0,steamspy,1012.0,False
4X,205990,Warlock 2: The Exiled,"4X, Adventure, RPG, Strategy",,,,Ino-Co Plus,Paradox Interactive,18.0,steamspy,978.0,False
4X,2118810,Breachway,"4X, Simulation, Strategy",,,,Edgeflow Studio,Hooded Horse,45.0,steamspy,969.0,False
4X,2001070,Heart of the Machine,"4X, City Builder, Simulation, Strategy",,,,Arcen Games,Hooded Horse,21.0,steamspy,949.0,False
4X,1681060,Exogate Initiative,"4X, City Builder, Simulation, Strategy",,,,Xeno Bits,Xeno Bits,31.0,steamspy,949.0,False
4X,42990,Sword of the Stars II: Enhanced Edition,"4X, Strategy",,,,Kerberos Productions,Paradox Interactive,5.0,steamspy,932.0,False
4X,357310,Oriental Empires,"4X, Adventure, Indie, Simulation, Strategy, Survival",,,,Shining Pixel Studios,Iceberg Interactive,25.0,steamspy,866.0,False
4X,265970,Worlds of Magic,"4X, Adventure, Indie, RPG, Strategy",,,,Wastelands Interactive,Conglomerate 5,2.0,steamspy,805.0,False
4X,577230,Three Kingdoms The Last Warlord,"4X, Simulation, Strategy, Survival",,,,LongYou Game Studio,LongYou Tech Ltd,38.0,steamspy,785.0,False
4X,2420880,WitchHand,"4X, Card & Board, Simulation, Strategy, Survival",,,,Jon Nielsen,HopFrog,3.0,steamspy,747.0,False
4X,659540,Warsim: The Realm of Aslona,"4X, Action, Adventure, Indie, RPG, Simulation, Strategy",,,,Huw Millward,Huw Millward,12.0,steamspy,741.0,False
4X,201290,Sins of a Solar Empire: Trinity,"4X, Strategy",,,,"Ironclad Games Corporation, Stardock Entertainment",Stardock Entertainment,12.0,steamspy,733.0,False
4X,1623070,Master of Magic,"4X, City Builder, RPG, Strategy",,,,"MuHa Games, Eerie Forest Studio",Slitherine Ltd.,45.0,steamspy,732.0,False
4X,1395760,Reshaping Mars,"4X, City Builder, Indie, Simulation, Strategy",,,,Tholus,Yooreka Studio,2.0,steamspy,640.0,False
4X,1356810,Hexarchy,"4X, Card & Board, Simulation, Strategy",,,,Main Tank Software,"Yogscast Games, Gamersky Games",46.0,steamspy,630.0,False
4X,241000,Jon Shafer's At the Gates,"4X, Indie, Strategy",,,,Conifer Games,Conifer Games,1.0,steamspy,628.0,False
4X,1683320,Power & Revolution 2021 Edition,"4X, Simulation, Strategy",,,,Eversim,Eversim,5.0,steamspy,603.0,False
4X,1154840,Shadow Empire,"4X, RPG, Simulation, Strategy",,,,VR Designs,Matrix Games,42.0,steamspy,594.0,False
4X,1901910,Ultimate General: American Revolution,"4X, Simulation, Strategy",,,,Game-Labs,Game-Labs,38.0,steamspy,559.0,False
4X,1116880,The Heroic Legend of Eagarlnia,"4X, Indie, Strategy",,,,HongShou Studio,Pixmain,7.0,steamspy,558.0,False
4X,2340500,Three Kingdoms: Innovatory,"4X, RPG, Strategy",,,,瞬息万变工作室,Moment HK,14.0,steamspy,555.0,False
4X,499660,Medieval Kingdom Wars,"4X, Action, City Builder, Simulation, Strategy, Survival",,,,Reverie World Studios,indie.io,4.0,steamspy,544.0,False
4X,418250,Polaris Sector,"4X, RPG, Simulation, Strategy",,,,SoftWarWare,Slitherine Ltd.,3.0,steamspy,542.0,False
