appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
42990,Sword of the Stars II: Enhanced Edition,Paradox Interactive,4X,$385k ($221.7k - $548.3k),$1.1b,932.0,44.49,350000.0,0.4612808974988864
2118810,Breachway,Hooded Horse,4X,$809.2k ($571.7k - $1m),$205m,969.0,74.07,75000.0,0.461207308983405
1356810,Hexarchy,Yogscast Games,4X,$1.2m ($772k - $1.7m),$37.9m,630.0,84.26,75000.0,0.4565972737872673
1623070,Master of Magic,Slitherine Ltd.,4X,$1.4m ($772.6k - $2.1m),$97.4m,732.0,71.05,75000.0,0.454284649383705
499660,Medieval Kingdom Wars,indie.io,4X,$2.2m ($1.5m - $2.9m),$36.8m,544.0,77.09,75000.0,0.4535595491693276
659540,Warsim: The Realm of Aslona,Huw Millward,4X,$256.1k ($160.1k - $352.1k),$256k,741.0,96.3,150000.0,0.445358036922827
1011390,Field of Glory: Empires,Slitherine Ltd.,4X,$830.5k ($544k - $1.1m),$97.4m,466.0,81.58,75000.0,0.4432773470295219
418250,Polaris Sector,Slitherine Ltd.,4X,$516.6k ($303.8k - $729.5k),$97.4m,542.0,63.108,150000.0,0.4380695201616179
1395760,Reshaping Mars,Yooreka Studio,4X,$220.1k ($158.4k - $281.8k),$3m,640.0,84.55,150000.0,0.4373874366932575
265970,Worlds of Magic,Conglomerate 5,4X,$668.6k ($442.8k - $894.4k),$2.5m,805.0,41.472,350000.0,0.4356787407877689
1681060,Exogate Initiative,Xeno Bits,4X,$654.3k ($448.7k - $859.9k),$654.4k,949.0,75.57,75000.0,0.4343606955324767
1154840,Shadow Empire,Matrix Games,4X,$991k ($580.1k - $1.4m),$17.2m,594.0,85.98,35000.0,0.4332515828218642
1597310,Airship: Kingdoms Adrift,indie.io,4X,$727.4k ($513.5k - $941.4k),$36.8m,417.0,75.52,75000.0,0.4276734661663622
1116880,The Heroic Legend of Eagarlnia,Pixmain,4X,$450.2k ($323k - $577.5k),$2m,558.0,85.13,75000.0,0.4268600114319258
2420880,WitchHand,HopFrog,4X,$236.9k ($170.5k - $303.4k),$299.8k,747.0,91.59,35000.0,0.4078105496425928
464880,Stars in Shadow,Iceberg Interactive,4X,$366.7k ($237.3k - $496.1k),$34.2m,464.0,77.82,35000.0,0.405923441416659
1901910,Ultimate General: American Revolution,Game-Labs,4X,$1.1m ($724.4k - $1.4m),$21m,559.0,53.05,35000.0,0.4007429963801742
1683320,Power & Revolution 2021 Edition,Eversim,4X,$567.1k ($311.6k - $822.6k),$6.7m,603.0,57.12,35000.0,0.392638623168138
2340500,Three Kingdoms: Innovatory,Moment HK,4X,$222.7k ($149k - $296.3k),$222.7k,555.0,60.06,35000.0,0.3648485344722667
241000,Jon Shafer's At the Gates,Conifer Games,4X,$290k ($202.5k - $377.5k),$290k,628.0,35.496,35000.0,0.3490229668146585
2236070,Peaks of Yore,TraipseWare,Action,$1m ($748.5k - $1.3m),$1m,467.0,97.64,150000.0,0.4580652127370564
1227780,Taur,Echo Entertainment,Action,$1.3m ($855k - $1.7m),$1.3m,629.0,79.69,150000.0,0.454223859192385
396480,Battlevoid: Harbinger,Bugbyte Ltd.,Action,$214.1k ($145.5k - $282.7k),$9.5m,563.0,80.13,350000.0,0.4525199902365411
2085370,Classified: France '44,Team17,Action,$829.5k ($509.2k - $1.1m),$491.6m,537.0,72.82,75000.0,0.445798944814635
450860,Andarilho,SC Jogos,Action,$22.6k ($13.5k - $31.6k),$762.8k,3904.0,66.35,150000.0,0.4361701591627853
503620,Fictorum,Scraping Bottom Games,Action,$886.1k ($547.5k - $1.2m),$886.1k,452.0,78.63,150000.0,0.4357277283714214
404410,Endless Sky,Michael Zahniser,Action,0,$0 ,2950.0,83.754,1500000.0,0.4252344877848165
533780,Zombie Defense,Home Net Games,Action,$2k ($1.2k - $2.8k),$440.6k,2356.0,70.587,750000.0,0.4232472331797361
2616140,Sunset Motel,RockGame S.A.,Action,$555k ($360.2k - $749.8k),$5m,801.0,79.47,35000.0,0.4222552947871139
326120,Horizon Shift,Funbox Media Ltd,Action,$22.4k ($4.4k - $40.3k),$509.5k,1577.0,79.61399999999999,150000.0,0.4195327220014245
1952250,SAMURAI MAIDEN,D3PUBLISHER,Action,$1.1m ($648.2k - $1.6m),$55.3m,526.0,60.94,35000.0,0.4109157006337037
