appid,name,genres,release_date,is_free,price,developers,publishers,concurrent_players,source,peak_players,is_non_game
431960,Wallpaper Engine,"Action, Horror, Indie",,,,Wallpaper Engine Team,Wallpaper Engine Team,65691.0,steamspy,150271.0,True
786520,SAO Utils: Beta,Indie,,,,Joshua Chen,Studio GPBeta,871.0,steamspy,3847.0,True
1929610,Demonologist,"Action, Horror, Indie, Survival",,,,Clock Wizard Games,Clock Wizard Games,258.0,steamspy,8693.0,True
2552450,KINGDOM HEARTS III + Re Mind (DLC),"Action, Adventure, JRPG, RPG",,,,Square Enix,Square Enix,255.0,steamspy,1267.0,True
231120,Euro Truck Simulator 2 Demo,"Action, Adventure, Casual, Indie, RPG, Racing, Simulation",,,,SCS Software,SCS Software,212.0,steamspy,1310.0,True
830640,DayZ Tools,Survival,,,,Bohemia Interactive,Bohemia Interactive,82.0,steamspy,216.0,True
457550,Bigscreen Beta,"Adventure, Casual, Simulation",,,,"Bigscreen, Inc.","Bigscreen, Inc.",76.0,steamspy,2436.0,True
452280,Factorio Demo,"Indie, Simulation, Strategy, Survival",,,,Wube Software LTD.,Wube Software LTD.,74.0,steamspy,2987.0,True
2707900,NIGHT-RUNNERS PROLOGUE,"Horror, RPG, Racing, Sports",,,,PLANET JEM,PLANET JEM,62.0,steamspy,1992.0,True
10150,Prototype,"Action, Adventure, Horror, RPG",,,,Radical Entertainment,Activision,51.0,steamspy,965.0,True
2552440,KINGDOM HEARTS HD 2.8 Final Chapter Prologue,"Action, Adventure, JRPG, RPG",,,,Square Enix,Square Enix,50.0,steamspy,202.0,True
591960,Animation Throwdown: The Quest for Cards,"Adventure, Card & Board, Casual, Horror, RPG, Strategy",,,,"Synapse Games, Chinzilla",Kongregate,49.0,steamspy,1359.0,True
1410710,Democracy 4,"Indie, Simulation, Strategy",,,,Positech Games,Positech Games,48.0,steamspy,685.0,True
115320,Prototype 2,"Action, Adventure, Horror, RPG",,,,Radical Entertainment,Activision,43.0,steamspy,4062.0,True
1490890,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,"Action, Adventure",,,,CyberConnect2,SEGA,39.0,steamspy,7939.0,True
564310,Serious Sam Fusion 2017 (beta),"Action, Indie, Shooter",,,,Croteam,"Devolver Digital, Croteam",39.0,steamspy,486.0,True
1344350,SUCCUBUS: Prologue,"Action, Adventure, Horror, Indie",,,,Madmind Studio,Madmind Studio,38.0,steamspy,395.0,True
2204130,Sid Meier's Alpha Centauri Planetary Pack,"4X, Strategy",,,,Firaxis Games,Electronic Arts,37.0,steamspy,276.0,True
1092720,Hello Neighbor Alpha 2,"Action, Horror, Puzzle, Survival",,,,Dynamic Pixels,tinyBuild,31.0,steamspy,102.0,True
3132990,Black Myth: Wukong Benchmark Tool,"Action, Adventure, Horror",,,,Game Science,Game Science,30.0,steamspy,47941.0,True
