appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
289070,Sid Meier’s Civilization VI,2K,4X,$380.3m ($259.2m - $501.3m),$1.7b,162314.0,85.92,15000000.0,0.8489996642633197
8930,Sid Meier's Civilization V,2K,4X,$166.9m ($103.7m - $230.1m),$1.7b,91020.0,95.43,15000000.0,0.8286336518512294
1158310,Crusader Kings III,Paradox Interactive,4X,$153m ($93.4m - $212.5m),$1.1b,98474.0,90.76,3500000.0,0.7906427291413758
1363080,Manor Lords,Hooded Horse,4X,$86m ($56.9m - $115m),$205m,172605.0,85.45,3500000.0,0.7871358979563475
236850,Europa Universalis IV,Paradox Interactive,4X,$75.5m ($49.6m - $101.4m),$1.1b,47844.0,87.34,7500000.0,0.7716642585301514
281990,Stellaris,Paradox Interactive,4X,$110.9m ($79.9m - $141.9m),$1.1b,68517.0,86.75,3500000.0,0.7707070652983665
289130,ENDLESS Legend,AMPLITUDE Studios,4X,$28.3m ($16m - $40.6m),$86.3m,88785.0,83.95,3500000.0,0.7451685886526422
204880,Sins of a Solar Empire: Rebellion,Stardock Entertainment,4X,$10.5m ($5.9m - $15.1m),$62.5m,91159.0,93.66,3500000.0,0.7399184625706449
1295660,Sid Meier's Civilization VII,2K,4X,$74.2m ($49.8m - $98.7m),$1.7b,84558.0,47.69,1500000.0,0.7151069002221324
466560,Northgard,Shiro Games,4X,$42.5m ($30.4m - $54.6m),$90.7m,20083.0,85.98,3500000.0,0.7072799865954779
392110,ENDLESS Space 2,AMPLITUDE Studios,4X,$20m ($13.9m - $26m),$86.3m,53435.0,84.13,1500000.0,0.7055781288822705
1669000,Age of Wonders 4,Paradox Interactive,4X,$42m ($24.6m - $59.5m),$1.1b,42826.0,82.12,750000.0,0.7028596572079212
1124300,HUMANKIND,AMPLITUDE Studios,4X,$25m ($16.2m - $33.8m),$86.3m,55232.0,67.93,1500000.0,0.6936118798481149
226840,Age of Wonders III,Paradox Interactive,4X,$9.9m ($5.7m - $14m),$1.1b,18477.0,81.7,1500000.0,0.6709188798591099
208140,ENDLESS Space - Definitive Edition,AMPLITUDE Studios,4X,$3.4m ($1.6m - $5.2m),$86.3m,41009.0,79.65,1500000.0,0.6671224138234042
885970,Total War: ROME REMASTERED,SEGA,4X,$13m ($8m - $18.1m),$1.6b,18407.0,76.99,750000.0,0.6561099313438219
232050,Eador. Masters of the Broken World,Snowbird Games,4X,$973.6k ($549.9k - $1.3m),$2m,115993.0,67.48,1500000.0,0.6528303960617311
4700,Total War: MEDIEVAL II – Definitive Edition,SEGA,4X,$4.8m ($2.6m - $7.1m),$1.6b,8419.0,95.55,1500000.0,0.6515267170952754
32470,STAR WARS Empire at War - Gold Pack,LucasArts,4X,$12.9m ($7.9m - $17.8m),$124.9m,5686.0,97.72,1500000.0,0.6449957498550312
1605220,Dune: Spice Wars,Funcom,4X,$11.4m ($7.8m - $15m),$198.2m,7986.0,79.3,1500000.0,0.6372379824558885
1085660,Destiny 2,Bungie,Action,$912.3m ($522.3m - $1.3b),$912.4m,316651.0,75.59,35000000.0,0.8884014938020371
1174180,Red Dead Redemption 2,Rockstar Games,Action,$439.2m ($323.3m - $555.1m),$770.8m,99759.0,92.08,15000000.0,0.8387981170376333
304390,FOR HONOR,Ubisoft,Action,$171.8m ($107.4m - $236.2m),$2.4b,216499.0,69.77,7500000.0,0.8161239163032749
601150,Devil May Cry 5,"CAPCOM Co., Ltd.",Action,$132.4m ($83.4m - $181.5m),$1.8b,88735.0,96.25,7500000.0,0.8100084108998229
1172620,Sea of Thieves: 2025 Edition,Xbox Game Studios,Action,$273.9m ($193.4m - $354.4m),$1.8b,66632.0,89.34,7500000.0,0.8047781249860204
221380,Age of Empires II (Retired),Xbox Game Studios,Action,$63.8m ($34.6m - $92.9m),$1.8b,27618.0,95.8,7500000.0,0.7627802602931475
678960,CODE VEIN,Bandai Namco Entertainment,Action,$71.8m ($50.2m - $93.3m),$1.7b,33804.0,83.84,3500000.0,0.7414450225951685
848450,Subnautica: Below Zero,Unknown Worlds Entertainment,Action,$48.7m ($38m - $59.5m),$185.6m,42057.0,90.36,3500000.0,0.7396163049511387
2384580,DYNASTY WARRIORS: ORIGINS,"KOEI TECMO GAMES CO., LTD.",Action,$49.2m ($32.1m - $66.3m),$424.5m,69318.0,92.78,750000.0,0.7266852561283318
1942280,Brotato,Blobfish,Action,$21.3m ($13.5m - $29m),$21.4m,38761.0,96.64,3500000.0,0.7221045909779557
1693980,Dead Space,Electronic Arts,Action,$50.6m ($39.2m - $62.1m),$4.5b,28842.0,91.08,750000.0,0.7083346110984544
1254120,Bless Unleashed,VALOFE,Action,$9.8m ($6.6m - $12.9m),$27.3m,76273.0,56.997,3500000.0,0.6931002261803603
48000,LIMBO,Playdead,Action,$6.1m ($3.8m - $8.5m),$21.1m,27454.0,91.75,3500000.0,0.6882756402446543
2993780,FANTASY LIFE i: The Girl Who Steals Time,LEVEL5 Inc.,Action,$24.8m ($16.9m - $32.7m),$37.7m,65347.0,92.24,350000.0,0.6869014115428913
555160,Pavlov,Vankrupt Games,Action,$24.5m ($16.8m - $32.2m),$24.4m,17629.0,89.33,1500000.0,0.6739743899872519
699130,World War Z,Saber Interactive Inc,Action,$35.3m ($22.7m - $47.9m),$35.3m,7943.0,83.43,1500000.0,0.6502550388888595
1256670,Library Of Ruina,ProjectMoon,Action,$13m ($9.5m - $16.4m),$108.8m,7211.0,94.48,1500000.0,0.6486300599325958
274940,Depth,Digital Confectioners,Action,$11.7m ($7.9m - $15.4m),$11.7m,10775.0,89.64,1500000.0,0.645138197391159
240760,Wasteland 2: Director's Cut,inXile Entertainment,Action,$9.8m ($7.3m - $12.3m),$49m,18576.0,82.38,750000.0,0.6427557909163022
826630,Iron Harvest,Prime Matter,Action,$27.6m ($16.8m - $38.5m),$76.6m,8145.0,74.23,1500000.0,0.6415528116075031
1623730,Palworld,Pocketpair,Adventure,$414.2m ($260.2m - $568.3m),$438m,2101535.0,94.14,75000000.0,0.9680884452624152
346110,ARK: Survival Evolved,Studio Wildcard,Adventure,$456.5m ($309.6m - $603.4m),$538.1m,247292.0,83.87,35000000.0,0.8767106282132638
1222670,The Sims 4,Electronic Arts,Adventure,$159.5m ($85.2m - $233.9m),$4.5b,96185.0,86.02,15000000.0,0.8244227954307625
2215430,Ghost of Tsushima DIRECTOR'S CUT,PlayStation Publishing LLC,Adventure,$103.4m ($74.1m - $132.8m),$1.3b,77154.0,93.7,3500000.0,0.7810478800925578
1364780,Street Fighter 6,"CAPCOM Co., Ltd.",Adventure,$126.8m ($84.5m - $169.1m),$1.8b,70540.0,83.73,3500000.0,0.7726394273665176
1468810,鬼谷八荒 Tale of Immortal,鬼谷工作室,Adventure,$75m ($50m - $100m),$75m,183985.0,55.34,3500000.0,0.7526409266007752
298110,Far Cry® 4,Ubisoft,Adventure,$54.9m ($43.8m - $66m),$2.4b,16946.0,84.4,3500000.0,0.7181871088532706
2072450,Like a Dragon: Infinite Wealth,SEGA,Adventure,$26.4m ($19.6m - $33.1m),$1.6b,46029.0,91.02,750000.0,0.7088672688978914
346900,AdVenture Capitalist,Hyper Hippo Games,Adventure,$9.9m ($6.8m - $13m),$10m,22927.0,86.71,7500000.0,0.6985685784361176
1113560,NieR Replicant ver.1.22474487139...,Square Enix,Adventure,$25.8m ($17.6m - $33.9m),$1b,28509.0,87.99,750000.0,0.6886415972420146
527230,For The King,Curve Games,Adventure,$25.2m ($15.3m - $35.1m),$196.4m,9840.0,87.67,3500000.0,0.6825811803533887
324800,Shadow Warrior 2,Devolver Digital,Adventure,$34.4m ($19.2m - $49.5m),$501.4m,12484.0,87.33,1500000.0,0.6791606106565752
751780,Forager,Humble Games,Adventure,$23.1m ($15.3m - $30.9m),$202.5m,13403.0,90.27,1500000.0,0.6746338076217792
834910,ATLAS,Grapeshot Games,Adventure,$24m ($16.3m - $31.7m),$24m,58788.0,46.68,1500000.0,0.6681732235518041
