appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players
1363080,Manor Lords,Hooded Horse,4X,$86m ($56.9m - $115m),$205m,172605.0
232050,Eador. Masters of the Broken World,Snowbird Games,4X,$973.6k ($549.9k - $1.3m),$2m,115993.0
289070,Sid Meier’s Civilization VI,2K,4X,$380.3m ($259.2m - $501.3m),$1.7b,162314.0
1158310,Crusader Kings III,Paradox Interactive,4X,$153m ($93.4m - $212.5m),$1.1b,98474.0
204880,Sins of a Solar Empire: Rebellion,Stardock Entertainment,4X,$10.5m ($5.9m - $15.1m),$62.5m,91159.0
8930,Sid Meier's Civilization V,2K,4X,$166.9m ($103.7m - $230.1m),$1.7b,91020.0
289130,ENDLESS Legend,AMPLITUDE Studios,4X,$28.3m ($16m - $40.6m),$86.3m,88785.0
281990,Stellaris,Paradox Interactive,4X,$110.9m ($79.9m - $141.9m),$1.1b,68517.0
1295660,Sid Meier's Civilization VII,2K,4X,$74.2m ($49.8m - $98.7m),$1.7b,84558.0
1124300,HUMANKIND,AMPLITUDE Studios,4X,$25m ($16.2m - $33.8m),$86.3m,55232.0
236850,Europa Universalis IV,Paradox Interactive,4X,$75.5m ($49.6m - $101.4m),$1.1b,47844.0
392110,ENDLESS Space 2,AMPLITUDE Studios,4X,$20m ($13.9m - $26m),$86.3m,53435.0
1669000,Age of Wonders 4,Paradox Interactive,4X,$42m ($24.6m - $59.5m),$1.1b,42826.0
208140,ENDLESS Space - Definitive Edition,AMPLITUDE Studios,4X,$3.4m ($1.6m - $5.2m),$86.3m,41009.0
466560,Northgard,Shiro Games,4X,$42.5m ($30.4m - $54.6m),$90.7m,20083.0
226840,Age of Wonders III,Paradox Interactive,4X,$9.9m ($5.7m - $14m),$1.1b,18477.0
885970,Total War: ROME REMASTERED,SEGA,4X,$13m ($8m - $18.1m),$1.6b,18407.0
1575940,Sins of a Solar Empire II,Stardock Entertainment,4X,$11.9m ($8.8m - $14.9m),$62.5m,13330.0
