appid,name,genres,release_date,is_free,price,developers,publishers
1190590,Ice Cream Fantasy,,"22 Nov, 2019",False,"₩ 1,100",Rafael Farias,Fiassink Games
625340,XERA: Survival,"Action, Adventure","26 Sep, 2021",True,,Spotted Kiwi Interactive,Spotted Kiwi Interactive
842140,Kitten'd,Adventure,"20 Jun, 2019",False,"₩ 15,500",Star Vault AB,Star Vault AB
1151650,Shard,,"4 Oct, 2019",False,"₩ 1,100",Riyko Games,Riyko Games
565080,Negligee: Spring Clean Prelude,"Adventure, RPG","6 Aug, 2021",True,,Dharker Studios,Dharker Studios
1138260,Figure Simulator War,Action,"26 Oct, 2019",False,"₩ 10,500",H-GIRL,H-GIRL
1105410,Shine's Adventures 2 (Zombie Attack),"Action, Adventure, RPG","27 Sep, 2019",False,"₩ 3,300",ShineProject,ShineProject
927370,DoC God Mode Edition,"Adventure, RPG","4 Sep, 2018",False,"₩ 26,000",Volker Elzner,Volker Elzner
1235810,Retro,Action,"27 Feb, 2020",False,"₩ 5,500",Matthew Bridgeman,Matthew Bridgeman
414700,Outlast 2,"Action, Adventure","24 Apr, 2017",False,"₩ 21,500",Red Barrels,Red Barrels
1342100,Evening Starter,"Action, Adventure, RPG","18 Jun, 2021",False,"₩ 15,500",baron sengia,Kagura Games
1393490,CheeseCube,"Action, Adventure","16 Jul, 2021",False,"₩ 4,500",Germie,Germie
1003950,Right to Rule,"Action, Adventure, RPG",To be announced,False,,Frostbox Studios,Frostbox Studios
1446900,Fallen Tear: The Ascension,"Action, Adventure, RPG",Q1 2026,False,,Winter Crew Studios,CMD Studios
252010,Oniken: Unstoppable Edition,Action,"5 Feb, 2014",False,"₩ 5,600",JoyMasher,JoyMasher
1399140,Boxing Coach,,"15 Oct, 2020",False,"₩ 10,500",Yiku studio,Yiku studio
577290,Drunk or Dead,Action,"10 Jan, 2017",False,"₩ 6,700",4 I Lab,4 I Lab
278810,LA Cops,"Action, Adventure","13 Mar, 2015",False,"₩ 5,630",Modern Dream,Team17 Digital Ltd
762670,Astro Joust,Action,"28 Mar, 2018",False,"₩ 1,100",Mutant Entertainment Studios,Mutant Entertainment Studios
1209870,The Gladhollow Nasties,Adventure,Coming soon,False,,Novel Creatures,Novel Creatures
782700,Jerry and the mystery loot box,Adventure,"31 Jan, 2018",False,"₩ 2,300",Desdres,Casioqum
1075740,Banners of Ruin,RPG,"29 Jul, 2021",False,"₩ 20,500",MonteBearo,"Goblinz Publishing, Maple Whispering Limited"
1371810,Bamerang: Warm-Up Duel,Action,"12 Aug, 2020",True,,Lululu Entertainment,Lululu Entertainment
1440340,Cannon Foundry Simulator,,To be announced,False,,Orbital Fireworks, PlayWay S.A.
1508030,Object N,Action,"13 Jan, 2021",True,,KleskBY,KleskBY
660730,Ventura Inc,,"1 Jun, 2018",False,"₩ 19,500",Ben Strijbos,Ben Strijbos
307570,A Golden Wake,Adventure,"9 Oct, 2014",False,"₩ 2,100",Grundislav Games,Grundislav Games
1531680,修真之路,,"6 Feb, 2021",True,,游韵游戏网络公司,游韵游戏网络公司
472870,Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,Adventure,"17 Jun, 2016",False,"₩ 8,500",07th Expansion,MangaGamer
811360,Archibald,Adventure,"7 Mar, 2018",False,"₩ 2,300",azimuth team,azimuth team
1031270,Farming Life,Adventure,"18 Oct, 2021",False,₩ 880,▲ Pyramid Games,"Gaming Factory, Ultimate Games S.A."
505660,The Crystal Nebula,Action,"27 Jul, 2016",False,"₩ 2,200",Tristan Hodges,Tristan Hodges
1192500,GraFi Christmas,Adventure,"22 Nov, 2019",False,"₩ 2,300",Blender Games,Blender Games
709790,The Red Front,Action,"5 Oct, 2017",False,"₩ 1,100",10ft Games,10ft Games
1028860,Star Chef: Cooking & Restaurant Game,,"3 Apr, 2019",True,,99Games Online Pvt. Ltd.,99Games Online Pvt. Ltd.
1137160,百花三国志(Banner of the THREE KINGDOMS),RPG,"2 May, 2023",False,"₩ 7,500",Flying Star Games,Flying Star Games
1015650,The Virtual Reality Museum of Immersive Experiences,,"20 Feb, 2019",True,,Volker Kuchelmeister,http://kuchelmeister.net
1458900,Meridian 157: Prologue,Adventure,"9 Dec, 2020",True,,NovaSoft Interactive Ltd.,NovaSoft Interactive Ltd.
984260,Tora,"Action, Adventure, RPG","3 Jan, 2019",False,"₩ 1,100",Medusa,Medusa
385350,Deadweight,Action,"22 Apr, 2016",False,"₩ 4,500",DK VIP Lounge,DK VIP Lounge
1234590,Class Kingdom,RPG,"22 Feb, 2020",False,"₩ 13,500",Yehonatan Sitbon,Yehonatan Sitbon
889240,Loot Box Simulator,,"27 Jul, 2018",True,,Clickbait Studios,Clickbait Studios
1054190,Parkour Bot,Action,Q1 2026,False,,Tombas Tomáš Basovnik,Tombas Tomáš Basovnik
254820,Ground Control Anthology,,"8 Jul, 2015",False,"₩ 5,600",Massive Entertainment,Rebellion
669440,IKAROS,Adventure,"2 Sep, 2017",True,,Studio Mori,Studio Mori
1463900,Pretty Girls and Dark Witch. A simple story,Adventure,"25 Dec, 2020",False,"₩ 3,400",Salangan Games,Cuties Logic
1272530,Looking Glass,,"1 May, 2020",False,"₩ 1,100",Wakeless Studio,Wakeless Studio
1280300,Steel Assault,Action,"28 Sep, 2021",False,"₩ 15,500",Zenovia Interactive,Tribute Games Inc.
1389140,Jury Trial,RPG,2026,False,,Loge Games,Loge Games
61600,Zen Bound 2,,"16 Nov, 2010",False,"₩ 5,600",Secret Exit Ltd.,Secret Exit Ltd.
448170,Last Dream: World Unknown,RPG,"1 Jun, 2017",False,"₩ 3,300",White Giant RPG Studios,White Giant RPG Studios
1437950,Queen's Revolution ~ the romance in upheavals ~,RPG,Coming soon,False,,Shoen Project,Shoen Project
1045120,Brunch Club,,"29 Aug, 2019",False,"₩ 13,500",Foggy Box Games,Yogscast Games
410050,The Forgotten Forest,Adventure,"11 Nov, 2015",False,"₩ 1,100",Dylan Wentz,Dylan Wentz
