appid,name,publisher_main,SampledGenre,game_revenue,publisher_revenue
61520,Age of Wonders Shadow Magic,Paradox Interactive,4X,$112k ($69.5k - $154.6k),$1.1b
885970,Total War: ROME REMASTERED,SEGA,4X,$13m ($8m - $18m),$1.6b
1357210,Galactic Civilizations IV,Stardock Entertainment,4X,$3.9m ($2.5m - $5.4m),$62.5m
1119700,As Far As The Eye,Goblinz Publishing,4X,$1.6m ($1m - $2.2m),$29.1m
1638300,Solargene,Alexander Semenov,4X,$241.4k ($143.1k - $339.6k),$241.4k
294790,Haegemonia: The Solon Heritage,Microids,4X,$10.8k ($3k - $18.6k),$27.1m
477730,Eador. Imperium,Snowbird Games,4X,$318.7k ($188.9k - $448.6k),$2m
48240,Anno 2070,Ubisoft,4X,$13.3m ($10.2m - $16.4m),$2.4b
403950,Conquest of Elysium 4,Illwinter Game Design,4X,$232.5k ($131.6k - $333.3k),$6.5m
1154840,Shadow Empire,Matrix Games,4X,$990.4k ($580.7k - $1.4m),$17.2m
42990,Sword of the Stars II: Enhanced Edition,Paradox Interactive,4X,$385k ($221.7k - $548.3k),$1.1b
719640,War Planet Online: Global Conquest,Gameloft,4X,$7.2m ($4.1m - $10.3m),$64.8m
418250,Polaris Sector,Slitherine Ltd.,4X,$516.2k ($303.7k - $728.7k),$97.4m
2613780,Wizard Warfare 2: Cephalopod Wars,Psyanotek Limited,4X,$14.6k ($8.8k - $20.3k),$28k
1075190,A Game of Thrones: The Board Game - Digital Edition,Twin Sails Interactive,4X,$1.3m ($839.3k - $1.9m),$35.3m
1300700,Kingdom Wars 4,indie.io,4X,$119.4k ($79.6k - $159.2k),$36.8m
718650,Driftland: The Magic Revival,Star Drifters,4X,$1m ($660.4k - $1.4m),$2.6m
375910,Anno 2205,Ubisoft,4X,$7.8m ($5.4m - $10.2m),$2.4b
357310,Oriental Empires,Iceberg Interactive,4X,$2.7m ($1.9m - $3.5m),$34.2m
577710,Pirates of Everseas,Moonmana,4X,$98.5k ($49k - $148k),$98.5k
1146370,Master of Magic Classic,Slitherine Ltd.,4X,$94.1k ($68.2k - $119.9k),$97.4m
1575940,Sins of a Solar Empire II,Stardock Entertainment,4X,$11.8m ($8.8m - $14.9m),$62.5m
2195410,Songs of Silence,Chimera Entertainment,4X,$1.8m ($1.3m - $2.3m),$1.8m
265970,Worlds of Magic,Conglomerate 5,4X,$668.6k ($442.8k - $894.4k),$2.5m
25800,Europa Universalis III Complete,Paradox Interactive,4X,$749.5k ($388.6k - $1.1m),$1.1b
742700,Empire Deluxe Combined Edition,Killer Bee Software,4X,$101.3k ($62k - $140.5k),$101.2k
42890,Sword of the Stars: Complete Collection,Paradox Interactive,4X,$162.1k ($97.1k - $227.1k),$1.1b
2021880,Ara History Untold: Anniversary Edition ,Xbox Game Studios,4X,$2.3m ($1.4m - $3.1m),$1.8b
2799350,Emperor of the Fading Suns Enhanced,"Holistic Design, Inc.",4X,$31.8k ($21.1k - $42.5k),$33.1k
261470,Distant Worlds: Universe,Slitherine Ltd.,4X,$3.5m ($2.5m - $4.5m),$97.4m
1669000,Age of Wonders 4,Paradox Interactive,4X,$42m ($24.6m - $59.4m),$1.1b
489630,"Warhammer 40,000: Gladius - Relics of War",Slitherine Ltd.,4X,$17.9m ($4.2m - $31.7m),$97.4m
2328480,Ascension,Element Game 微元游戏,4X,$1.1m ($752.9k - $1.6m),$1.1m
1681060,Exogate Initiative,Xeno Bits,4X,$654.3k ($448.7k - $859.9k),$654.4k
287580,Pandora: First Contact,Slitherine Ltd.,4X,$696.7k ($478.8k - $914.6k),$97.4m
410990,Master of Orion 3,Wargaming Labs,4X,$56.7k ($28.8k - $84.7k),$9.2m
1983990,Nexus 5X,Paradox Arc,4X,$293.4k ($186.3k - $400.4k),$14.6m
449300,Planar Conquest,Conglomerate 5,4X,$355.3k ($180.5k - $530.2k),$2.5m
1937780,Total War: PHARAOH,SEGA,4X,$6.2m ($4m - $8.4m),$1.6b
202200,Galactic Civilizations II: Ultimate Edition,Stardock Entertainment,4X,$742.5k ($148.5k - $1.3m),$62.5m
2819870,Great Powers,Flame-Dragons,4X,$8.7k ($4.3k - $13.1k),$11.4k
3990,Civilization IV: Warlords,2K,4X,$21.6k ($11.5k - $31.8k),$1.7b
392110,ENDLESS Space 2,AMPLITUDE Studios,4X,$20m ($13.9m - $26m),$86.3m
2553920,King of Avalon,FunPlus International AG,4X,$148k ($81.1k - $215k),$1.5m
34460,Civilization IV: Beyond the Sword,,4X,0,ERROR
365420,Apollo4x,Volens Nolens Games,4X,$4.7k ($2.3k - $7.1k),$658.4k
544610,Battlestar Galactica Deadlock,Slitherine Ltd.,4X,$3.9m ($2.6m - $5.3m),$97.4m
3900,Sid Meier's Civilization IV,2K,4X,$505.7k ($270k - $741.3k),$1.7b
427940,Industries of Titan,Brace Yourself Games,4X,$1.8m ($1.1m - $2.5m),$17m
606230,Thea 2: The Shattering,MuHa Games,4X,$1.1m ($738.2k - $1.4m),$3.9m
