appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score,Group,Review_Count,sentiment_score,sentiment_magnitude,Action_SUCCESS_Combat_Ratio,Indie_FAILURE_Value_Ratio,RPG_FAILURE_Freedom/Choice_Ratio,Casual_FAILURE_Variety/LevelDesign_Ratio,Puzzle_SUCCESS_Logic/Intuition_Ratio,Strategy_SUCCESS_StrategicVariety_Ratio,Puzzle_SUCCESS_Novelty_Ratio,RPG_SUCCESS_Worldbuilding_Ratio,Puzzle_FAILURE_Novelty_Ratio,Strategy_SUCCESS_InfoClarity_Ratio,Indie_FAILURE_Originality_Ratio,Adventure_SUCCESS_Exploration_Ratio,Strategy_FAILURE_AIQuality_Ratio,Simulation_SUCCESS_UI/Interface_Ratio,Strategy_SUCCESS_AIQuality_Ratio,Casual_FAILURE_Addictiveness_Ratio,Indie_FAILURE_Polish/Bugs_Ratio,Puzzle_FAILURE_Logic/Intuition_Ratio,Adventure_SUCCESS_Story_Ratio,Simulation_FAILURE_UI/Interface_Ratio,Casual_FAILURE_Playtime/Pacing_Ratio,Action_FAILURE_Difficulty_Ratio,Action_SUCCESS_Difficulty_Ratio,RPG_SUCCESS_Freedom/Choice_Ratio,Strategy_FAILURE_InfoClarity_Ratio,RPG_FAILURE_Rewards_Ratio,Strategy_FAILURE_StrategicVariety_Ratio,Simulation_FAILURE_SystemDepth_Ratio,Action_FAILURE_Combat_Ratio,Indie_SUCCESS_Originality_Ratio,Casual_SUCCESS_Addictiveness_Ratio,Simulation_SUCCESS_Realism_Ratio,Indie_SUCCESS_Value_Ratio,Simulation_FAILURE_Realism_Ratio,RPG_SUCCESS_Rewards_Ratio,RPG_FAILURE_Worldbuilding_Ratio,Adventure_FAILURE_Atmosphere_Ratio,Casual_SUCCESS_Playtime/Pacing_Ratio,Indie_SUCCESS_Polish/Bugs_Ratio,Adventure_SUCCESS_Atmosphere_Ratio,Action_SUCCESS_Controls_Ratio,Simulation_SUCCESS_SystemDepth_Ratio,Puzzle_SUCCESS_DifficultyCurve_Ratio,Adventure_FAILURE_Exploration_Ratio,Adventure_FAILURE_Story_Ratio,Action_FAILURE_Controls_Ratio,Puzzle_FAILURE_DifficultyCurve_Ratio,Casual_SUCCESS_Variety/LevelDesign_Ratio
1085660,Destiny 2,Bungie,Action,$912.3m ($522.3m - $1.3b),$912.4m,316651.0,75.59,35000000.0,0.8884014938020371,Top,50,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1174180,Red Dead Redemption 2,Rockstar Games,Action,$439.2m ($323.3m - $555.1m),$770.8m,99759.0,92.08,15000000.0,0.8387981170376333,Top,50,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304390,FOR HONOR,Ubisoft,Action,$171.8m ($107.4m - $236.2m),$2.4b,216499.0,69.77,7500000.0,0.8161239163032749,Top,50,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601150,Devil May Cry 5,"CAPCOM Co., Ltd.",Action,$132.4m ($83.4m - $181.5m),$1.8b,88735.0,96.25,7500000.0,0.8100084108998229,Top,50,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1172620,Sea of Thieves: 2025 Edition,Xbox Game Studios,Action,$273.9m ($193.4m - $354.4m),$1.8b,66632.0,89.34,7500000.0,0.8047781249860204,Top,50,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221380,Age of Empires II (Retired),Xbox Game Studios,Action,$63.8m ($34.6m - $92.9m),$1.8b,27618.0,95.8,7500000.0,0.7627802602931475,Top,50,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678960,CODE VEIN,Bandai Namco Entertainment,Action,$71.8m ($50.2m - $93.3m),$1.7b,33804.0,83.84,3500000.0,0.7414450225951685,Top,50,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
848450,Subnautica: Below Zero,Unknown Worlds Entertainment,Action,$48.7m ($38m - $59.5m),$185.6m,42057.0,90.36,3500000.0,0.7396163049511387,Top,50,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2384580,DYNASTY WARRIORS: ORIGINS,"KOEI TECMO GAMES CO., LTD.",Action,$49.2m ($32.1m - $66.3m),$424.5m,69318.0,92.78,750000.0,0.7266852561283318,Top,50,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1942280,Brotato,Blobfish,Action,$21.3m ($13.5m - $29m),$21.4m,38761.0,96.64,3500000.0,0.7221045909779557,Top,50,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
