appid,name,publishers,game_revenue,publisher_revenue
578080,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.",$4.8b ($3.1b - $6.5b),$4.9b
1172470,Apex Legends,Electronic Arts,$1.5b ($763.6m - $2.2b),$4.4b
730,Counter-Strike 2,Valve,$10.2b ($5b - $15.3b),$13.8b
2767030,Marvel Rivals,NetEase Games,$263.8m ($167.4m - $360.1m),$301.5m
252490,Rust,Facepunch Studios,$507.6m ($345.8m - $669.4m),$507.6m
570,Dota 2,Valve,$2.1b ($724.2m - $3.5b),$13.8b
230410,Warframe,Digital Extremes,$905.2m ($588.6m - $1.2b),$905.9m
238960,Path of Exile,Grinding Gear Games,$209.1m ($130.8m - $287.5m),$344.1m
413150,Stardew Valley,ConcernedApe,$272.7m ($191.3m - $354m),$272.5m
381210,Dead by Daylight,Behaviour Interactive Inc.,$195.8m ($133.7m - $258m),$205.4m
1086940,Baldur's Gate 3,Larian Studios,$754.5m ($518.8m - $990.2m),$990.3m
3241660,R.E.P.O.,semiwork,$134.9m ($84.1m - $185.7m),$135.9m
3037410,Fish Idle 2: Underwater Mystery,MulticastGames,$87k ($41.6k - $132.4k),$87k
440,Team Fortress 2,Valve,$347.7m ($223m - $472.5m),$13.8b
431960,Wallpaper Engine,Wallpaper Engine Team,ERROR,ERROR
438100,VRChat,VRChat Inc.,$89.1m ($55.7m - $122.6m),$89.1m
322170,Geometry Dash,RobTop Games,$22.1m ($15m - $29.2m),$22.1m
236390,War Thunder,Gaijin Network Ltd,$468m ($288.8m - $647.2m),$516.8m
1366800,Crosshair X,CenterPoint Gaming,ERROR,ERROR
