Selected_Genre,appid,name,genres,release_date,is_free,price,developers,publishers,concurrent_players,source,peak_players
4X,289070,Sid Meier’s Civilization VI,"4X, City Builder, Simulation, Strategy",,,,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",25573.0,steamspy,162314.0
4X,232050,Eador. Masters of the Broken World,"4X, Adventure, Indie, RPG, Strategy",,,,Snowbird Games,Snowbird Games,18.0,steamspy,115993.0
4X,204880,Sins of a Solar Empire: Rebellion,"4X, Simulation, Strategy",,,,"Ironclad Games Corporation, Stardock Entertainment",Stardock Entertainment,292.0,steamspy,91159.0
4X,289130,ENDLESS Legend,"4X, Adventure, Indie, RPG, Strategy",,,,AMPLITUDE Studios,AMPLITUDE Studios,121.0,steamspy,88785.0
4X,65980,Sid Meier's Civilization: Beyond Earth,"4X, Action, Adventure, Simulation, Strategy",,,,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",277.0,steamspy,86747.0
4X,1295660,Sid Meier's Civilization VII,"4X, City Builder, Simulation, Strategy",,,,Firaxis Games,2K,8032.0,steamspy,84558.0
4X,392110,ENDLESS Space 2,"4X, Action, Indie, RPG, Strategy",,,,AMPLITUDE Studios,AMPLITUDE Studios,328.0,steamspy,53435.0
4X,236850,Europa Universalis IV,"4X, Simulation, Strategy",,,,"Paradox Development Studio, Paradox Tinto",Paradox Interactive,6161.0,steamspy,47844.0
4X,1669000,Age of Wonders 4,"4X, RPG, Strategy",,,,Triumph Studios,Paradox Interactive,1948.0,steamspy,42826.0
4X,208140,ENDLESS Space - Definitive Edition,"4X, Indie, Simulation, Strategy",,,,AMPLITUDE Studios,AMPLITUDE Studios,32.0,steamspy,41009.0
4X,885970,Total War: ROME REMASTERED,"4X, Action, Strategy",,,,"Creative Assembly, Feral Interactive",SEGA,671.0,steamspy,18407.0
4X,244160,Homeworld Remastered Collection,"4X, Action, Adventure, Simulation, Strategy",,,,"Gearbox Software, Aspyr (Mac)","Gearbox Publishing, Aspyr (Mac)",90.0,steamspy,17778.0
4X,1575940,Sins of a Solar Empire II,"4X, Strategy",,,,"Ironclad Games Corporation, Stardock Entertainment",Stardock Entertainment,653.0,steamspy,13330.0
4X,718850,Age of Wonders: Planetfall,"4X, City Builder, Strategy",,,,Triumph Studios,Paradox Interactive,83.0,steamspy,10346.0
4X,4700,Total War: MEDIEVAL II – Definitive Edition,"4X, Action, Simulation, Strategy",,,,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2340.0,steamspy,8419.0
4X,1605220,Dune: Spice Wars,"4X, Indie, Simulation, Strategy",,,,Shiro Games,"Funcom, Shiro Games",143.0,steamspy,7986.0
4X,2328480,Ascension,"4X, RPG, Strategy",,,,Element Game 微元游戏,Element  Game 微元游戏,56.0,steamspy,7867.0
4X,463530,Empires of the Undergrowth,"4X, City Builder, Simulation, Strategy, Survival",,,,Slug Disco,"Hooded Horse, Slug Disco",240.0,steamspy,6356.0
4X,736820,Knights of Honor II: Sovereign,"4X, City Builder, Simulation, Strategy",,,,Black Sea Games,THQ Nordic,163.0,steamspy,6034.0
4X,32470,STAR WARS Empire at War - Gold Pack,"4X, Action, Adventure, Simulation, Strategy",,,,Petroglyph,"LucasArts, Lucasfilm, Disney",1210.0,steamspy,5686.0
4X,40400,AI War: Fleet Command,"4X, Indie, Simulation, Strategy, Tower Defense",,,,Arcen Games,Arcen Games,3.0,steamspy,5028.0
4X,1937780,Total War: PHARAOH,"4X, Action, Horror, Strategy",,,,CREATIVE ASSEMBLY,SEGA,30.0,steamspy,4858.0
4X,1099410,A Total War Saga: TROY,"4X, Action, Adventure, Massively Multiplayer, Simulation, Strategy",,,,"CREATIVE ASSEMBLY, Feral Interactive (Mac)","SEGA, Feral Interactive (Mac)",128.0,steamspy,4638.0
4X,3910,Sid Meier's Civilization III Complete,"4X, City Builder, Simulation, Strategy",,,,Firaxis Games,2K,1321.0,steamspy,4571.0
4X,4760,Rome: Total War - Collection,"4X, Action, Simulation, Strategy",,,,CREATIVE ASSEMBLY,SEGA,461.0,steamspy,4399.0
4X,1656780,Hero's Hour,"4X, RPG, Strategy",,,,"Benjamin ""ThingOnItsOwn"" Hauer","Goblinz Publishing, Maple Whispering Limited",51.0,steamspy,4170.0
4X,867210,Songs of Conquest,"4X, RPG, Strategy",,,,Lavapotion,Coffee Stain Publishing,171.0,steamspy,4167.0
4X,202200,Galactic Civilizations II: Ultimate Edition,"4X, Strategy",,,,Stardock Entertainment,Stardock Entertainment,26.0,steamspy,3986.0
4X,365420,Apollo4x,"4X, Action, Adventure, Casual, Indie, RPG, Simulation, Strategy",,,,Digital Entertainment,Volens Nolens Games,0.0,steamspy,3766.0
4X,252450,StarDrive 2,"4X, Indie, Strategy",,,,Zero Sum Games,Iceberg Interactive,7.0,steamspy,3571.0
4X,203630,Warlock - Master of the Arcane,"4X, RPG, Strategy",,,,Ino-Co Plus,Paradox Interactive,16.0,steamspy,3403.0
4X,282210,Sid Meier's Starships,"4X, Casual, Strategy",,,,Firaxis Games,2K,21.0,steamspy,3387.0
4X,1422440,Cataclismo,"4X, City Builder, Simulation, Strategy",,,,Digital Sun,Hooded Horse,43.0,steamspy,3129.0
4X,8800,Civilization IV: Beyond the Sword,"4X, Simulation, Strategy",,,,Firaxis Games,2K,1340.0,steamspy,2744.0
4X,228260,Fallen Enchantress: Legendary Heroes,"4X, City Builder, RPG, Strategy",,,,Stardock Entertainment,Stardock Entertainment,34.0,steamspy,2627.0
4X,427940,Industries of Titan,"4X, City Builder, Simulation, Strategy",,,,Brace Yourself Games,Brace Yourself Games,5.0,steamspy,2209.0
4X,544610,Battlestar Galactica Deadlock,"4X, Action, Adventure, Simulation, Strategy",,,,Black Lab Games,Slitherine Ltd.,231.0,steamspy,2125.0
4X,1191840,Legend Creatures(传奇生物),"4X, Adventure, Indie, RPG, Strategy",,,,HideChara,HideChara,8.0,steamspy,2079.0
4X,2511500,Dominions 6 - Rise of the Pantokrator,"4X, Strategy",,,,Illwinter Game Design,Illwinter Game Design,283.0,steamspy,1881.0
4X,201310,X3: Albion Prelude,"4X, Action, Adventure, Simulation, Strategy",,,,Egosoft,Egosoft,29.0,steamspy,1853.0
4X,887570,NEBULOUS: Fleet Command,"4X, Simulation, Strategy",,,,Eridanus Industries,Hooded Horse,86.0,steamspy,1814.0
4X,1822550,Microcivilization,"4X, City Builder, Indie, Strategy",,,,Ondrej Homola,Ondrej Homola,16.0,steamspy,1728.0
4X,3900,Sid Meier's Civilization IV,"4X, Simulation, Strategy",,,,Firaxis Games,2K,561.0,steamspy,1389.0
4X,261470,Distant Worlds: Universe,"4X, Adventure, Indie, Simulation, Strategy",,,,Code Force,Slitherine Ltd.,5.0,steamspy,1239.0
4X,1075190,A Game of Thrones: The Board Game - Digital Edition,"4X, Card & Board, Strategy",,,,Dire Wolf,Twin Sails Interactive,26.0,steamspy,1062.0
4X,2820,X3: Terran Conflict,"4X, Action, Simulation, Strategy",,,,Egosoft,Egosoft,23.0,steamspy,1019.0
4X,1481170,ZEPHON,"4X, Horror, RPG, Simulation, Strategy",,,,Proxy Studios,Proxy Studios,132.0,steamspy,1016.0
4X,1264280,Slipways,"4X, Indie, Puzzle, Strategy",,,,Beetlewing,Beetlewing,12.0,steamspy,1012.0
4X,1768280,Ozymandias: Bronze Age Empire Sim,"4X, City Builder, Simulation, Strategy",,,,The Secret Games Company,"Goblinz Publishing, IndieArk",12.0,steamspy,1012.0
4X,205990,Warlock 2: The Exiled,"4X, Adventure, RPG, Strategy",,,,Ino-Co Plus,Paradox Interactive,18.0,steamspy,978.0
4X,2001070,Heart of the Machine,"4X, City Builder, Simulation, Strategy",,,,Arcen Games,Hooded Horse,21.0,steamspy,949.0
4X,42990,Sword of the Stars II: Enhanced Edition,"4X, Strategy",,,,Kerberos Productions,Paradox Interactive,5.0,steamspy,932.0
4X,357310,Oriental Empires,"4X, Adventure, Indie, Simulation, Strategy, Survival",,,,Shining Pixel Studios,Iceberg Interactive,25.0,steamspy,866.0
4X,265970,Worlds of Magic,"4X, Adventure, Indie, RPG, Strategy",,,,Wastelands Interactive,Conglomerate 5,2.0,steamspy,805.0
4X,577230,Three Kingdoms The Last Warlord,"4X, Simulation, Strategy, Survival",,,,LongYou Game Studio,LongYou Tech Ltd,38.0,steamspy,785.0
4X,755800,Hades' Star,"4X, Indie, Massively Multiplayer, Strategy",,,,Parallel Space Inc,Parallel Space Inc,101.0,steamspy,761.0
4X,659540,Warsim: The Realm of Aslona,"4X, Action, Adventure, Indie, RPG, Simulation, Strategy",,,,Huw Millward,Huw Millward,12.0,steamspy,741.0
4X,201290,Sins of a Solar Empire: Trinity,"4X, Strategy",,,,"Ironclad Games Corporation, Stardock Entertainment",Stardock Entertainment,12.0,steamspy,733.0
4X,1623070,Master of Magic,"4X, City Builder, RPG, Strategy",,,,"MuHa Games, Eerie Forest Studio",Slitherine Ltd.,45.0,steamspy,732.0
4X,719640,War Planet Online: Global Conquest,"4X, Action, Massively Multiplayer, Strategy, Survival, Tower Defense",,,,Gameloft,Gameloft,111.0,steamspy,644.0
